"path.to.input","meanenergy","swarming","winddirection","generations","windspeed","nhost","nshould","nright","e"
"input/A/",6.6,13,296.6,2,3.1,627,186,62,555.65
"input/A/",13.2,20,216.6,1,4.8,91,186,31,346.77
"input/A/",12.9,7,15.7,1,3.1,262,186,41,446.34
"input/A/",9.7,8,265,1,2.5,205,186,59,231.36
"input/A/",12.5,32,320,1,3.6,87,186,20,582.5
"input/B/",11.9,36,347.9,2,0.9,829,101,99,369.7
"input/B/",9.3,34,148.8,2,3.8,953,101,99,432.32
"input/B/",9.2,37,247.1,1,4.6,281,101,94,103.19
"input/B/",7.3,45,337.3,2,5.2,849,101,99,379.8
"input/B/",8.3,16,217.6,1,4.4,312,101,98,110.71
"input/B/",10.8,19,159.8,2,2.8,1109,101,99,511.11
"input/B/",13.4,28,147.5,2,4.9,771,101,94,363.83
"input/B/",8.8,53,356.3,1,4,260,101,99,82.32
"input/B/",12.2,31,198.7,1,4.9,245,101,84,105.95
"input/B/",8.2,17,76.4,2,0.7,1054,101,99,483.33
"input/B/",13.6,23,255.1,2,2.5,634,101,90,308.33
"input/B/",8.6,21,89,2,2.8,1087,101,99,500
"input/B/",13.3,32,286.2,2,4.4,518,101,78,296.79
"input/B/",8.1,22,13.9,2,2.2,1096,101,99,504.55
"input/B/",11.5,41,74.3,1,1.4,238,101,70,142.14
"input/B/",13.6,30,9.9,1,1.3,209,101,42,269.05
"input/B/",8.3,20,308,2,4.3,1072,101,99,492.42
"input/B/",13.8,17,49.7,2,2.7,842,101,93,406.99
"input/B/",8.2,54,203.6,1,2.7,274,101,99,89.39
"input/B/",6.5,21,263,1,5.4,302,101,87,131.61
"input/B/",7.3,54,303.3,1,0.2,266,101,95,93.16
"input/B/",6.6,35,309.1,1,4.1,275,101,95,97.89
"input/B/",7.3,11,216.2,2,2.3,1104,101,99,508.59
"input/B/",9.5,53,262.3,1,1.3,263,101,99,83.84
"input/B/",6.4,11,211.1,2,3.7,1110,101,99,511.62
"input/B/",12.2,33,324.9,2,3.3,752,101,89,379.21
"input/B/",8.8,45,351.1,2,3.6,888,101,99,399.49
"input/B/",12.9,28,338.5,2,3.1,781,101,99,345.45
"input/B/",9.6,24,214.8,2,1.2,1044,101,99,478.28
"input/B/",6.3,27,216.2,1,5,295,101,99,100
"input/B/",6.1,21,170.9,2,2,996,101,99,454.04
"input/B/",9,40,239.5,2,1.7,890,101,89,456.74
"input/B/",9,18,186.3,1,0.7,304,101,97,108.76
"input/B/",13.6,14,347.3,1,2.2,306,101,78,160.9
"input/B/",8.2,32,178.6,2,3.8,965,101,99,438.38
"input/B/",9.7,22,62.7,1,1.5,320,101,97,117.01
"input/B/",6.6,56,180.1,1,3.8,275,101,99,89.9
"input/B/",6.5,23,176.5,2,1.8,984,101,99,447.98
"input/B/",6.2,42,225.2,2,1.3,867,101,98,393.88
"input/B/",10.4,41,33.1,2,1.5,943,101,99,427.27
"input/B/",8.6,16,273,1,1.9,316,101,96,117.19
"input/B/",11,43,315.2,2,0.8,844,101,99,377.27
