"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-SA.nlogo"
"C"
"02/03/2021 16:01:52:882 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","seed","path-to-input","generations","[step]","perceptdist","moveangle","diffusionrate","swarming","winddirection","windspeed","meanenergy","beetle_percentsucc1","max_flightdist_inf1","max_distance_host1","mean_flightdist_inf1","mean_distance_host1","max_flightdist_all1","mean_flightdist_all1","mean_traveldist1","max_traveldist1","mean_airline1","max_airline1","nhost1"
"41","17","input/C/","1","9699","4.8","67.1","5","43","54.1","1.1","10.7","19.429929498835612","1100","194.49","40.75","56.61","3760","231.74821666322202","395.2262529508315","6289.074614256929","182.5663932994429","1815.938894033767","17"
"44","17","input/C/","1","8076","0.3","29.3","15","34","214.5","2.8","11.6","0.7418407102254583","865","5","15.91","5","4870","221.30746630899918","273.5406305709788","5862.175380034713","137.3980131920217","1990.420908635087","1"
"38","17","input/C/","1","8371","5.3","35.8","15","35","53.9","4.6","12.7","0","0","0","0","0","5435","322.41275339185955","414.01919916778036","6876.157297348558","191.17210596388986","1774.9641891142987","0"
"40","17","input/C/","1","10854","4.2","17.8","3","48","37.9","5.4","11.8","4.159647779479326","3045","142.13","172.18","87.19","4745","319.70949983699813","485.2053732109792","7098.455805592832","312.2690099388577","1821.3851666601272","8"
"46","17","input/C/","1","2740","2.2","79.1","11","7","349.9","0.1","10.3","63.44837694199814","1230","215","48.18","50.68","4370","109.28672026357303","166.7592459881795","6518.525881597948","73.3979140913806","1636.186564769432","156"
"45","17","input/C/","1","6742","4.6","66.7","4","26","314.1","2.5","13.1","5.362291108559765","2785","90.14","93.23","28.09","5670","269.0490457795706","294.02552310967985","6068.767558542673","96.81477810541332","1528.6128011788242","5"
"52","17","input/C/","1","8638","2.5","24.8","14","38","273.3","0.2","6.3","50.84338118022329","880","67.27","24.6","19.76","2960","44.30555526907107","87.120430430201","5281.334458606766","46.903900553912024","1952.7885190852135","64"
"37","17","input/C/","1","6657","5.7","16.8","22","27","21","4.1","12.3","7.776948066453494","2759.45","162.79","165.89","110.97","4400","342.060141653139","531.5259474011086","7136.174773045275","349.19199530025674","1798.9734782200267","14"
"47","17","input/C/","1","3215","4.2","68.9","20","11","133.2","3.2","13.7","11.572855385517517","2550","132","68.92","27.39","4205","113.66432475287124","158.69843131188406","5639.273540403684","56.31654002330943","1369.7869157412342","10"
"53","17","input/C/","1","9793","2.7","55.9","17","44","223.3","1.5","7.2","38.27715905897979","1310","30","21.08","13.52","3370","57.65989825482829","58.89580988095652","3431.427966010337","36.31344370491549","1142.2807583693084","59"
"48","17","input/C/","1","11076","5.2","21","18","50","245.1","5.3","12.8","7.397448165869218","2525","190.07","95.87","39.79","4495","221.78556961801175","396.23637068430867","7946.4162591972945","204.73342118268337","1996.599344599318","14"
"57","17","input/C/","1","11869","4.2","9.2","19","55","171.6","1.2","9.2","27.589473684210525","1279.4","15.81","24.15","8.71","4090","75.59234135298279","122.66528425808215","7068.879716366446","64.61743277068703","1992.9692971320178","30"
"51","17","input/C/","1","2637","5.3","48.2","6","10","185.7","2.3","9.5","40.58512333482058","2175","32.02","26.42","10.25","3045","49.20535890992382","83.6709491463339","5157.096570294562","40.514796168506216","1903.6377383146475","42"
"39","17","input/C/","1","10659","2.4","39.1","1","47","343.3","5.1","12.7","0.9053734585649479","625","158.82","158.58","152.08","3920","465.98183822119995","895.8267076679751","7064.13614717583","468.6544553099565","1675.1622468283972","2"
"56","17","input/C/","1","2238","3.4","64.5","7","8","194.5","1.5","6.1","50.00701172870984","2315","25","23.28","11.08","2315","25.013424434175292","39.917052562922095","3866.9599231293196","18.913157511956086","1529.2248868809688","61"
"54","17","input/C/","1","5578","5.1","54.1","9","23","82","2.2","7.8","46.83258062869973","1255","47.43","26.78","22.57","3300","57.858399407811056","87.28772370810557","4780.740647972208","46.39259327855133","1551.1781492802284","101"
"58","17","input/C/","1","9152","1.6","88.3","20","41","47.1","2.3","6.1","36.801437498803146","570","36.06","22.34","15.27","2805","44.641922211847536","58.24435019233078","3597.634263163768","30.1337811689547","1184.0115093053728","61"
"49","17","input/C/","1","6856","0.4","51.2","9","27","298.1","1.6","12.1","12.894033099099445","2415","14.14","34.56","7.17","5465","262.1597797185304","327.8407643031915","6565.966944061807","131.4788999709854","1676.8555725842116","8"
"55","17","input/C/","1","2700","4.4","57.6","13","8","290","2.4","8.1","61.72934727180011","2005","45","28.51","21.26","3910","53.76552406628469","56.11490839789528","4056.375542038191","34.038498445647754","1166.8703441551465","144"
"64","17","input/C/","1","4779","2.6","83.6","21","20","240.4","5.1","7.1","51.709619800969634","720","43.01","29.87","15.87","3475","47.61840318418685","67.78046245475277","4836.756430692256","27.797282272523578","1807.0463431686958","74"
"61","17","input/C/","1","3283","3.1","9.5","11","11","260.8","0.1","7.9","58.32318841503445","1455","49.24","31.31","21.47","3090","62.825977847356796","95.40579784953817","4974.026447219213","53.98496782753622","1991.567690367865","115"
"62","17","input/C/","1","6779","2.3","72.6","15","29","34.8","2.5","7.6","38.43466508564908","1995","70","25.54","29.33","2600","85.2587824196411","164.7844607042775","4661.913753474857","89.5112069064929","1805.927064307636","96"
"66","17","input/C/","1","7359","0.7","10.8","12","32","12.6","3.4","6.9","40.113734945907325","500","39.05","18.47","16.55","3225","60.45056525930423","80.62680893327239","5069.841101194847","63.541283645597424","1738.8967890984331","68"
"59","17","input/C/","1","4544","0.8","19","14","17","318.7","5","9.7","47.12643678160919","2120","180.28","34.42","37.2","3590","145.56149511003557","286.253187105773","6720.68565562497","181.95638255936348","1671.604138801381","86"
"65","17","input/C/","1","6850","2.6","55","17","29","95.3","0.6","11.9","13.994555689432046","3720","166.51","47.76","46.66","4260","160.53278262991887","240.3839638730186","5794.197699941414","100.99025969168235","1525.5807551938267","11"
"63","17","input/C/","1","5370","5.2","83.3","22","21","95.1","3.5","13.3","11.27700410640957","2997.86","162.63","111.75","64.89","5425","171.4328987997564","229.94212196284047","6828.959066699892","77.30140871393432","1387.0805896394304","10"
"68","17","input/C/","1","4235","2.4","48.3","5","18","205.2","3.3","12.6","18.923332057660417","2685","20","40.84","9.13","3825","118.12165407419258","213.20748429430782","6704.122243261555","102.45648154324184","1995.417918425121","16"
"60","17","input/C/","1","4928","1.1","32.6","15","17","70.5","3.2","11.7","17.773355275747253","2420","187.22","25.35","21.25","5375","217.17207924157222","273.4877076574816","6611.578111620956","140.54260985488162","1818.3706581850188","14"
"67","17","input/C/","1","11605","5","52.8","21","52","80.5","1.3","11.2","11.919249904324532","1925.62","162.63","32.19","25.59","4075","189.8724530883306","286.04261415388396","5856.5083266072315","124.42107113252624","1725.4561699850083","8"
