"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-SA.nlogo"
"D"
"02/03/2021 16:26:21:378 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","seed","path-to-input","generations","[step]","perceptdist","moveangle","diffusionrate","swarming","winddirection","windspeed","meanenergy","beetle_percentsucc1","max_flightdist_inf1","max_distance_host1","mean_flightdist_inf1","mean_distance_host1","max_flightdist_all1","mean_flightdist_all1","mean_traveldist1","max_traveldist1","mean_airline1","max_airline1","nhost1"
"90","17","input/D/","1","9921","1.4","0.1","17","45","204","3.9","11.2","42.432551218711446","2820","416.47","74.16","44.26","6485","232.60384945559792","388.7975180249746","12928.30341773557","260.54746283069994","1571.8994013200415","97"
"91","17","input/D/","1","6199","4","57","1","26","208.8","4.8","13","58.63720358230691","3800","198.49","97.39","33.24","6490","264.85770432815923","311.83820287474595","7904.594283236127","116.0988876265783","1448.4691854487094","136"
"100","17","input/D/","1","4343","2.9","39.7","10","20","205.5","3.4","7.7","90.21030906011855","1615","85.44","25.86","12.15","3595","36.72725331807409","58.95831643508957","5942.3018543558155","32.99042263619693","1479.65168045029","260"
"97","17","input/D/","1","4389","5.2","66","21","20","288.6","2.2","10.6","82.91723116003386","1815","170.07","38.59","31.7","2860","76.33122745168515","135.15207287108748","4906.619657111001","69.13085253951526","1573.4703264214463","238"
"74","17","input/D/","1","11421","5.7","27","5","52","300.8","1.4","13.6","2.4783971535072857","3860.92","30.41","78.4","15.86","5415","540.0156261174538","593.1431831586458","5992.721390618757","343.2732129046908","1953.6464894140433","4"
"99","17","input/D/","1","6210","4.8","76.4","0","26","338.4","1.9","12.1","75.28580772299988","5015","124.2","66.98","26.51","6730","152.36481681000268","186.88763077762434","8388.724085469164","67.59282411805205","1472.572295621521","196"
"96","17","input/D/","1","11073","4.7","80.9","5","51","2","1","13.9","47.36215220429425","3370","217.08","119.14","47.06","4230","326.53953790323476","505.65122206010216","6438.794880408409","194.61618435888892","1815.6161641928177","92"
"92","17","input/D/","1","11280","4.3","48.1","2","53","230.9","2.6","13.1","28.137697983808096","2040","275.41","134.92","84.69","4160","400.2322529304283","692.9431954379154","6864.801188014158","323.0005260855089","1521.941851856267","60"
"98","17","input/D/","1","6558","0.2","45","5","28","316.1","5.4","11.5","60.128205128205124","4360","107.35","58.24","25.65","4740","199.81401065828197","247.82849223005326","5935.650343466786","112.83217073629721","1577.292196752596","161"
"81","17","input/D/","1","9463","5.5","27.6","12","43","225.1","3","13.4","9.82543043860086","4205","89.44","108.99","40.29","5190","509.37777650496577","529.4886703635804","5419.858411336901","318.41720479293065","1990.3631531107758","20"
"89","17","input/D/","1","6512","5.9","26.4","0","28","152.7","5.4","13.9","18.08253403629126","4395","106.3","116.31","38.86","5590","488.8811588219102","587.1090964366681","6745.421836161108","318.48117615955476","2001.9573265943159","41"
