"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-VAL.nlogo"
"D"
"02/09/2021 11:09:40:191 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","path-to-input","[step]","meanenergy","swarming","winddirection","generations","windspeed","nhost","nshould","nright"
"133","input/D/","3513","12.5","16","118.2","1","1.9","356","133","96"
"131","input/D/","27767","7.3","46","72.3","2","4.7","892","133","121"
"132","input/D/","31373","10.1","52","225.7","2","3.5","811","133","100"
"138","input/D/","3861","12.2","18","68.5","1","2","325","133","104"
"137","input/D/","3713","12.7","17","128.8","1","4.6","349","133","94"
"139","input/D/","3532","6.1","17","160.7","1","3.4","326","133","89"
"136","input/D/","2253","13.8","10","256.6","1","4","372","133","54"
"142","input/D/","10313","13.2","50","2","1","2","185","133","58"
"128","input/D/","12989","11.5","21","348.5","2","5.3","1048","133","121"
"144","input/D/","4809","11.2","23","24.9","1","3.6","296","133","89"
"146","input/D/","10784","8","53","355.2","1","4.5","288","133","76"
"141","input/D/","2579","6.4","12","23","1","2.1","342","133","89"
"140","input/D/","26510","6.1","44","308.5","2","1.4","862","133","114"
"148","input/D/","5694","10.5","27","200.5","1","2","296","133","37"
"149","input/D/","9624","12.2","46","30.7","1","4.8","242","133","85"
"147","input/D/","3469","8.4","16","315.5","1","0.2","325","133","78"
"101","input/D/","4587","10","7","295.4","2","1.7","1362","133","121"
"129","input/D/","10542","8.2","17","325","2","2.7","1083","133","89"
"143","input/D/","33342","12.9","55","293.8","2","4.2","551","133","99"
"150","input/D/","3305","12.4","15","195.1","1","5.1","341","133","55"
"155","input/D/","9225","10.8","45","216.6","1","4.5","284","133","86"
"152","input/D/","2591","6.3","12","153.3","1","4.1","342","133","94"
"161","input/D/","10953","7","54","356.1","1","1.2","283","133","74"
"160","input/D/","5391","8.1","26","15.1","1","3.3","320","133","86"
"158","input/D/","4389","8.9","21","48.1","1","5","321","133","100"
"154","input/D/","32330","12.2","53","300.6","2","3.3","542","133","26"
"151","input/D/","24584","13","40","91.8","2","1.6","712","133","121"
"145","input/D/","13422","7.2","22","259.1","2","3.9","1003","133","76"
"156","input/D/","31053","12.5","51","132.3","2","0.1","691","133","121"
"168","input/D/","10257","10.5","50","203.6","1","4.1","285","133","87"
"163","input/D/","2229","12","10","14.6","1","0.2","362","133","91"
"157","input/D/","21965","12.3","36","215.8","2","1.7","870","133","111"
"169","input/D/","9457","9.2","46","347.9","1","3","284","133","73"
"170","input/D/","5589","7.9","27","274.9","1","3.9","315","133","89"
"171","input/D/","7969","6.9","39","298.3","1","3.9","298","133","70"
"159","input/D/","17012","11.5","28","177","2","2.7","955","133","97"
"175","input/D/","9631","8.3","47","100.6","1","1.6","302","133","98"
"164","input/D/","16644","13.2","27","259.2","2","0.4","838","133","15"
"165","input/D/","22599","9.6","37","177","2","1.9","907","133","119"
"173","input/D/","3637","9.3","17","277.4","1","3.9","327","133","26"
"176","input/D/","7914","11.8","38","356","1","3","264","133","81"
"178","input/D/","6679","12.2","32","139.1","1","2.6","299","133","90"
"179","input/D/","9017","9.5","44","352.9","1","5.1","291","133","78"
"162","input/D/","12137","8.4","20","226.2","2","3.7","1064","133","121"
"167","input/D/","17338","11.9","28","259.4","2","3.4","928","133","48"
"180","input/D/","4614","8.2","22","43","1","1.3","331","133","99"
"184","input/D/","9677","10.8","47","171.2","1","2.7","286","133","81"
"182","input/D/","4173","7.2","20","289.8","1","2.2","307","133","18"
"187","input/D/","5662","12.5","27","36.9","1","0.1","285","133","92"
"174","input/D/","13565","11.7","22","342.8","2","1.9","983","133","106"
"181","input/D/","27611","12.7","45","55.5","2","2.5","642","133","121"
"183","input/D/","1639","9","7","295.5","1","2.3","355","133","41"
